X Y Z U V W
-4.554559 -1.169158 -8.790000 -0.437842 -0.161879 -0.884358
-4.176210 -2.192499 -8.790000 -0.469405 -0.233171 -0.851640
-4.028541 -2.489775 -8.790000 -0.427026 -0.302377 -0.852184
-3.855313 -2.734414 -8.790000 -0.343197 -0.312401 -0.885789
-3.256294 -3.392481 -8.790000 -0.306798 -0.364801 -0.879088
-2.611694 -3.934591 -8.790000 -0.214847 -0.371628 -0.903180
-2.259135 -4.138413 -8.790000 -0.214847 -0.371628 -0.903180
-1.313082 -4.545318 -8.790000 -0.082070 -0.424492 -0.901705
-0.943628 -4.616748 -8.790000 -0.082070 -0.424492 -0.901705
0.000000 -4.718545 -8.790000 0.050171 -0.465071 -0.883850
0.000000 -5.098638 -8.590000 -0.050171 -0.465071 -0.883850
0.767181 -5.015875 -8.590000 0.081178 -0.546250 -0.833679
1.275359 -4.940355 -8.590000 0.132793 -0.557284 -0.819634
1.379125 -4.915629 -8.590000 0.211221 -0.500142 -0.839788
2.574363 -4.410854 -8.590000 0.211221 -0.500142 -0.839788
2.638866 -4.376968 -8.590000 0.337457 -0.445068 -0.829480
2.840895 -4.223787 -8.590000 0.306798 -0.364801 -0.879088
3.586797 -3.596482 -8.590000 0.306798 -0.364801 -0.879088
3.844383 -3.313504 -8.590000 0.343197 -0.312401 -0.885789
4.306168 -2.661358 -8.590000 0.427026 -0.302377 -0.852184
4.699817 -1.868892 -8.590000 0.437842 -0.161879 -0.884358
4.883251 -1.372747 -8.590000 0.437842 -0.161879 -0.884358
5.088370 -0.110271 -8.590000 0.443056 0.000000 -0.896494
5.088370 0.110271 -8.590000 0.443056 0.000000 -0.896494
4.883251 1.372747 -8.590000 0.437842 0.161879 -0.884358
4.699817 1.868892 -8.590000 0.437842 0.161879 -0.884358
4.306168 2.661358 -8.590000 0.427026 0.302377 -0.852184
3.844383 3.313504 -8.590000 0.427026 0.302377 -0.852184
3.586797 3.596482 -8.590000 0.306798 0.364801 -0.879088
2.840895 4.223787 -8.590000 0.306798 0.364801 -0.879088
2.638866 4.376968 -8.590000 0.267099 0.508425 -0.818634
2.574363 4.410854 -8.590000 0.211221 0.500142 -0.839788
1.379125 4.915629 -8.590000 0.211221 0.500142 -0.839788
1.275359 4.940355 -8.590000 0.132793 0.557284 -0.819634
0.767181 5.015875 -8.590000 0.081178 0.546250 -0.833679
0.000000 5.098638 -8.590000 -0.050171 0.465071 -0.883850
-0.767181 5.015875 -8.590000 -0.050171 0.465071 -0.883850
-1.275359 4.940355 -8.590000 -0.081178 0.546250 -0.833679
-1.379125 4.915629 -8.590000 -0.211221 0.500142 -0.839788
-2.574363 4.410854 -8.590000 -0.211221 0.500142 -0.839788
-2.638866 4.376968 -8.590000 -0.337457 0.445068 -0.829480
-2.840895 4.223787 -8.590000 -0.306798 0.364801 -0.879088
-3.586797 3.596482 -8.590000 -0.343197 0.312401 -0.885789
-3.844383 3.313504 -8.590000 -0.343197 0.312401 -0.885789
-4.306168 2.661358 -8.590000 -0.469405 0.233171 -0.851640
-4.699817 1.868892 -8.590000 -0.437842 0.161879 -0.884358
-4.883251 1.372747 -8.590000 -0.437842 0.161879 -0.884358
-5.088370 0.110271 -8.590000 -0.443056 -0.000000 -0.896494
-5.088370 -0.110271 -8.590000 -0.443056 -0.000000 -0.896494
-4.883251 -1.372747 -8.590000 -0.482336 -0.078367 -0.872474
-4.699817 -1.868892 -8.590000 -0.469405 -0.233171 -0.851640
-4.306168 -2.661358 -8.590000 -0.469405 -0.233171 -0.851640
-3.844383 -3.313504 -8.590000 -0.343197 -0.312401 -0.885789
-3.586797 -3.596482 -8.590000 -0.343197 -0.312401 -0.885789
-2.840895 -4.223787 -8.590000 -0.306798 -0.364801 -0.879088
-2.638866 -4.376968 -8.590000 -0.337457 -0.445068 -0.829480
